municipality_number,municipality_name,year,number_of_households,average_household_size,number_of_dwellings,average_rent_price
44211,Segura de los Baños,2007,15.0,2.52,16.0,572.0
22215,Seira,2007,71.0,2.51,75.0,995.0
22217,Sena,2007,193.0,2.83,204.0,661.0
22218,Senés de Alcubierre,2007,23.0,2.51,24.0,339.0
44212,Seno,2007,19.0,2.33,20.0,911.0
22220,Sesa,2007,89.0,2.82,94.0,540.0
50243,Sestrica,2007,141.0,3.01,149.0,889.0
22221,Sesué,2007,44.0,2.61,47.0,932.0
50244,Sierra de Luna,2007,130.0,2.37,137.0,945.0
22222,Siétamo,2007,243.0,2.42,257.0,308.0
50245,Sigüés,2007,60.0,2.46,63.0,468.0
44213,Singra,2007,39.0,2.49,41.0,269.0
50246,Sisamón,2007,18.0,2.92,19.0,1008.0
50247,Sobradiel,2007,322.0,2.8,340.0,660.0
22223,Sopeira,2007,36.0,2.91,38.0,524.0
50248,Sos del Rey Católico,2007,276.0,2.58,292.0,847.0
22904,Sotonera (La),2007,350.0,3.01,370.0,868.0
50249,Tabuenca,2007,174.0,2.43,184.0,632.0
50250,Talamantes,2007,24.0,2.72,25.0,523.0
22225,Tamarite de Litera,2007,1238.0,2.99,1309.0,327.0
50251,Tarazona,2007,4580.0,2.4,4843.0,733.0
22226,Tardienta,2007,439.0,2.33,464.0,956.0
50252,Tauste,2007,2431.0,3.08,2571.0,430.0
22227,Tella-Sin,2007,113.0,2.56,119.0,800.0
50253,Terrer,2007,187.0,2.89,198.0,625.0
44215,Terriente,2007,85.0,2.26,90.0,870.0
44216,Teruel,2007,11846.0,2.89,12526.0,656.0
50254,Tierga,2007,79.0,2.52,84.0,418.0
22228,Tierz,2007,257.0,2.28,272.0,409.0
50255,Tobed,2007,98.0,2.81,104.0,775.0
22229,Tolva,2007,78.0,2.47,82.0,302.0
44217,Toril y Masegoso,2007,18.0,2.55,19.0,541.0
22230,Torla-Ordesa,2007,139.0,2.3,147.0,698.0
44218,Tormón,2007,14.0,2.41,15.0,1006.0
44219,Tornos,2007,100.0,2.5,106.0,812.0
22232,Torralba de Aragón,2007,51.0,2.31,54.0,549.0
50256,Torralba de los Frailes,2007,32.0,3.14,34.0,925.0
44220,Torralba de los Sisones,2007,100.0,2.23,106.0,723.0
50257,Torralba de Ribota,2007,69.0,2.71,73.0,415.0
50258,Torralbilla,2007,31.0,2.32,33.0,728.0
44223,Torre de Arcas,2007,44.0,2.52,47.0,564.0
44224,Torre de las Arcas,2007,12.0,2.95,13.0,963.0
44225,Torre del Compte,2007,72.0,2.4,76.0,984.0
22233,Torre la Ribera,2007,38.0,3.15,40.0,523.0
44227,Torre los Negros,2007,43.0,2.42,45.0,871.0
44221,Torrecilla de Alcañiz,2007,153.0,2.95,162.0,875.0
44222,Torrecilla del Rebollar,2007,58.0,2.76,61.0,420.0
50259,Torrehermosa,2007,30.0,3.03,32.0,457.0
44226,Torrelacárcel,2007,82.0,2.74,87.0,961.0
50260,Torrelapaja,2007,16.0,2.65,17.0,804.0
50261,Torrellas,2007,131.0,2.41,139.0,1014.0
44228,Torremocha de Jiloca,2007,59.0,2.39,62.0,486.0
22234,Torrente de Cinca,2007,329.0,3.1,348.0,452.0
44229,Torres de Albarracín,2007,58.0,2.56,61.0,657.0
22235,Torres de Alcanadre,2007,44.0,2.61,47.0,866.0
22236,Torres de Barbués,2007,109.0,2.96,115.0,738.0
50262,Torres de Berrellén,2007,565.0,2.55,597.0,979.0
44230,Torrevelilla,2007,62.0,3.13,66.0,529.0
44231,Torrijas,2007,24.0,2.87,25.0,770.0
50263,Torrijo de la Cañada,2007,112.0,2.81,118.0,795.0
44232,Torrijo del Campo,2007,189.0,3.06,200.0,744.0
50264,Tosos,2007,105.0,2.28,111.0,338.0
44234,Tramacastiel,2007,41.0,2.45,43.0,693.0
44235,Tramacastilla,2007,49.0,2.65,52.0,529.0
22239,Tramaced,2007,45.0,2.47,48.0,592.0
50265,Trasmoz,2007,31.0,2.9,33.0,457.0
50266,Trasobares,2007,57.0,3.11,60.0,702.0
44236,Tronchón,2007,38.0,2.65,40.0,339.0
50267,Uncastillo,2007,320.0,2.56,338.0,478.0
50268,Undués de Lerda,2007,20.0,3.13,21.0,326.0
44237,Urrea de Gaén,2007,204.0,2.65,216.0,443.0
50269,Urrea de Jalón,2007,143.0,2.69,151.0,974.0
50270,Urriés,2007,18.0,2.6,19.0,461.0
50271,Used,2007,117.0,3.09,124.0,492.0
50272,Utebo,2007,5744.0,2.77,6074.0,299.0
44238,Utrillas,2007,1130.0,2.96,1195.0,752.0
50274,Val de San Martín,2007,30.0,2.98,32.0,789.0
44239,Valacloche,2007,9.0,2.55,10.0,1002.0
44240,Valbona,2007,81.0,2.64,86.0,717.0
44241,Valdealgorfa,2007,226.0,3.03,239.0,933.0
44243,Valdecuenca,2007,18.0,2.57,19.0,599.0
50273,Valdehorna,2007,15.0,3.08,16.0,292.0
44244,Valdelinares,2007,40.0,3.11,42.0,801.0
44245,Valdeltormo,2007,125.0,2.82,132.0,606.0
44246,Valderrobres,2007,745.0,2.94,788.0,550.0
22242,Valfarta,2007,33.0,3.0,35.0,1002.0
44247,Valjunquera,2007,136.0,3.02,144.0,738.0
22243,Valle de Bardají,2007,20.0,2.61,21.0,860.0
22901,Valle de Hecho,2007,420.0,2.28,444.0,889.0
22244,Valle de Lierp,2007,18.0,2.57,19.0,520.0
44249,Vallecillo (El),2007,18.0,2.96,19.0,981.0
50275,Valmadrid,2007,36.0,2.66,38.0,435.0
50276,Valpalmas,2007,57.0,2.93,60.0,529.0
50277,Valtorres,2007,46.0,2.57,49.0,887.0
44250,Veguillas de la Sierra,2007,10.0,2.78,11.0,860.0
22245,Velilla de Cinca,2007,200.0,2.41,211.0,816.0
50278,Velilla de Ebro,2007,84.0,2.95,89.0,921.0
50279,Velilla de Jiloca,2007,34.0,2.78,36.0,584.0
22909,Vencillón,2007,189.0,2.42,200.0,519.0
50280,Vera de Moncayo,2007,176.0,2.5,186.0,546.0
22247,Viacamp y Litera,2007,9.0,2.9,10.0,296.0
22248,Vicién,2007,43.0,2.69,45.0,632.0
50281,Vierlas,2007,42.0,2.45,44.0,406.0
50283,Villadoz,2007,29.0,3.18,31.0,846.0
50284,Villafeliche,2007,69.0,2.89,73.0,379.0
50285,Villafranca de Ebro,2007,233.0,3.15,246.0,423.0
44251,Villafranca del Campo,2007,137.0,2.63,145.0,829.0
44252,Villahermosa del Campo,2007,35.0,2.66,37.0,829.0
50286,Villalba de Perejil,2007,38.0,3.12,40.0,340.0
50287,Villalengua,2007,142.0,2.74,150.0,497.0
50903,Villamayor de Gállego,2007,979.0,2.91,1035.0,489.0
22249,Villanova,2007,63.0,2.48,67.0,987.0
22250,Villanúa,2007,180.0,2.65,190.0,460.0
50288,Villanueva de Gállego,2007,1715.0,2.34,1813.0,408.0
50290,Villanueva de Huerva,2007,237.0,2.43,251.0,928.0
50289,Villanueva de Jiloca,2007,40.0,2.24,42.0,799.0
22251,Villanueva de Sigena,2007,229.0,2.27,242.0,500.0
44256,Villanueva del Rebollar de la Sierra,2007,16.0,3.18,17.0,1013.0
50291,Villar de los Navarros,2007,52.0,2.46,55.0,330.0
44257,Villar del Cobo,2007,75.0,2.89,79.0,812.0
44258,Villar del Salz,2007,31.0,3.04,33.0,773.0
44260,Villarluengo,2007,74.0,2.76,78.0,807.0
44261,Villarquemado,2007,392.0,2.38,414.0,529.0
50292,Villarreal de Huerva,2007,68.0,2.92,72.0,771.0
50293,Villarroya de la Sierra,2007,215.0,2.79,227.0,417.0
44262,Villarroya de los Pinares,2007,66.0,2.95,70.0,789.0
50294,Villarroya del Campo,2007,26.0,2.95,27.0,425.0
44263,Villastar,2007,111.0,3.16,117.0,386.0
44264,Villel,2007,132.0,2.78,140.0,770.0
50282,Vilueña (La),2007,45.0,2.6,48.0,576.0
44265,Vinaceite,2007,116.0,2.85,123.0,706.0
44266,Visiedo,2007,68.0,2.31,72.0,1001.0
50295,Vistabella,2007,15.0,3.0,16.0,797.0
44267,Vivel del Río Martín,2007,39.0,2.34,41.0,366.0
22252,Yebra de Basa,2007,59.0,2.56,62.0,440.0
22253,Yésero,2007,25.0,3.03,26.0,424.0
50296,Zaida (La),2007,187.0,2.79,198.0,616.0
22254,Zaidín,2007,703.0,2.6,743.0,463.0
50297,Zaragoza,2007,244175.0,2.68,258189.0,624.0
44268,Zoma (La),2007,8.0,2.99,8.0,768.0
50298,Zuera,2007,2640.0,2.56,2792.0,823.0
44001,Ababuj,2008,31.0,2.67,33.0,784.0
50001,Abanto,2008,48.0,2.77,51.0,417.0
44002,Abejuela,2008,22.0,2.74,23.0,354.0
22001,Abiego,2008,111.0,2.6,118.0,627.0
22002,Abizanda,2008,52.0,2.51,55.0,976.0
50002,Acered,2008,80.0,2.35,85.0,984.0
22003,Adahuesca,2008,63.0,2.58,67.0,693.0
50003,Agón,2008,70.0,2.38,74.0,840.0
50004,Aguarón,2008,309.0,2.92,328.0,453.0
44003,Aguatón,2008,8.0,2.57,8.0,432.0
44004,Aguaviva,2008,316.0,2.27,335.0,401.0
22004,Agüero,2008,58.0,2.77,62.0,268.0
44005,Aguilar del Alfambra,2008,26.0,2.77,28.0,764.0
50005,Aguilón,2008,85.0,3.05,90.0,635.0
22907,Aínsa-Sobrarbe,2008,756.0,2.77,802.0,324.0
50006,Ainzón,2008,500.0,2.55,530.0,297.0
22006,Aisa,2008,135.0,2.98,143.0,885.0
44006,Alacón,2008,150.0,2.73,159.0,1012.0
50007,Aladrén,2008,27.0,2.27,29.0,774.0
50008,Alagón,2008,2498.0,2.76,2649.0,549.0
50009,Alarba,2008,52.0,3.12,55.0,984.0
44007,Alba,2008,94.0,2.59,100.0,1010.0
22007,Albalate de Cinca,2008,472.0,2.5,501.0,423.0
44008,Albalate del Arzobispo,2008,946.0,2.36,1003.0,1010.0
22008,Albalatillo,2008,105.0,2.37,111.0,450.0
44009,Albarracín,2008,422.0,2.63,448.0,436.0
22009,Albelda,2008,312.0,2.79,331.0,1043.0
44010,Albentosa,2008,135.0,2.3,143.0,462.0
50010,Alberite de San Juan,2008,31.0,3.13,33.0,352.0
22011,Albero Alto,2008,39.0,2.97,41.0,749.0
22012,Albero Bajo,2008,40.0,2.78,42.0,453.0
22013,Alberuela de Tubo,2008,119.0,3.02,126.0,967.0
50011,Albeta,2008,59.0,2.27,63.0,295.0
50012,Alborge,2008,47.0,2.66,50.0,904.0
44011,Alcaine,2008,23.0,2.86,24.0,652.0
50013,Alcalá de Ebro,2008,99.0,3.01,105.0,922.0
22014,Alcalá de Gurrea,2008,96.0,2.96,102.0,415.0
44012,Alcalá de la Selva,2008,204.0,2.48,216.0,817.0
50014,Alcalá de Moncayo,2008,50.0,3.11,53.0,371.0
22015,Alcalá del Obispo,2008,181.0,2.35,192.0,587.0
22016,Alcampell,2008,261.0,3.05,277.0,376.0
44013,Alcañiz,2008,5170.0,3.14,5482.0,527.0
22017,Alcolea de Cinca,2008,504.0,2.39,534.0,600.0
50015,Alconchel de Ariza,2008,38.0,2.87,40.0,839.0
44014,Alcorisa,2008,1634.0,2.26,1733.0,729.0
22018,Alcubierre,2008,172.0,2.6,182.0,881.0
50016,Aldehuela de Liestos,2008,23.0,2.75,24.0,623.0
22019,Alerre,2008,81.0,2.78,86.0,658.0
50017,Alfajarín,2008,653.0,3.11,692.0,409.0
44016,Alfambra,2008,259.0,2.86,275.0,537.0
50018,Alfamén,2008,548.0,2.67,581.0,1016.0
22020,Alfántega,2008,42.0,2.99,45.0,896.0
50019,Alforque,2008,22.0,3.12,23.0,445.0
50020,Alhama de Aragón,2008,541.0,2.24,574.0,848.0
44017,Aliaga,2008,132.0,3.14,140.0,457.0
44021,Allepuz,2008,61.0,2.29,65.0,283.0
44022,Alloza,2008,237.0,2.99,251.0,711.0
44023,Allueva,2008,6.0,2.58,6.0,635.0
50021,Almochuel,2008,14.0,2.3,15.0,921.0
44018,Almohaja,2008,11.0,2.46,12.0,670.0
50022,Almolda (La),2008,227.0,2.83,241.0,886.0
50023,Almonacid de la Cuba,2008,116.0,2.58,123.0,893.0
50024,Almonacid de la Sierra,2008,362.0,2.27,384.0,718.0
22021,Almudévar,2008,878.0,2.79,931.0,567.0
50025,Almunia de Doña Godina (La),2008,2486.0,3.07,2636.0,582.0
22022,Almunia de San Juan,2008,259.0,2.58,275.0,766.0
22023,Almuniente,2008,232.0,2.42,246.0,379.0
44019,Alobras,2008,28.0,2.64,30.0,271.0
50026,Alpartir,2008,249.0,2.26,264.0,538.0
44020,Alpeñés,2008,8.0,3.02,8.0,428.0
22024,Alquézar,2008,107.0,3.0,113.0,641.0
22025,Altorricón,2008,536.0,2.78,568.0,710.0
50027,Ambel,2008,125.0,2.56,133.0,421.0
44024,Anadón,2008,7.0,3.07,7.0,997.0
44025,Andorra,2008,3015.0,2.75,3197.0,887.0
50028,Anento,2008,46.0,3.0,49.0,802.0
22027,Angüés,2008,151.0,2.81,160.0,673.0
50029,Aniñón,2008,279.0,2.97,296.0,764.0
22028,Ansó,2008,177.0,2.8,188.0,911.0
22029,Antillón,2008,63.0,2.63,67.0,471.0
50030,Añón de Moncayo,2008,73.0,3.14,77.0,882.0
22032,Aragüés del Puerto,2008,47.0,2.73,50.0,661.0
50031,Aranda de Moncayo,2008,83.0,2.79,88.0,948.0
50032,Arándiga,2008,172.0,2.43,182.0,888.0
44026,Arcos de las Salinas,2008,41.0,2.82,43.0,967.0
50033,Ardisa,2008,30.0,2.77,32.0,756.0
22035,Arén,2008,134.0,2.4,142.0,310.0
44027,Arens de Lledó,2008,96.0,2.27,102.0,265.0
22036,Argavieso,2008,47.0,2.8,50.0,735.0
44028,Argente,2008,81.0,2.96,86.0,494.0
22037,Arguis,2008,39.0,2.69,41.0,682.0
44029,Ariño,2008,393.0,2.43,417.0,876.0
50034,Ariza,2008,452.0,2.85,479.0,638.0
50035,Artieda,2008,45.0,2.29,48.0,1025.0
50036,Asín,2008,41.0,2.63,43.0,412.0
50037,Atea,2008,62.0,2.39,66.0,754.0
50038,Ateca,2008,870.0,2.4,923.0,860.0
22039,Ayerbe,2008,467.0,2.41,495.0,561.0
44031,Azaila,2008,60.0,2.58,64.0,660.0
22040,Azanuy-Alins,2008,82.0,2.28,87.0,690.0
22041,Azara,2008,77.0,2.59,82.0,829.0
22042,Azlor,2008,53.0,2.69,56.0,347.0
50039,Azuara,2008,263.0,2.67,279.0,729.0
44032,Bádenas,2008,10.0,2.72,11.0,819.0
50040,Badules,2008,34.0,3.09,36.0,339.0
22043,Baélls,2008,52.0,2.37,55.0,629.0
44033,Báguena,2008,164.0,2.69,174.0,295.0
50041,Bagüés,2008,13.0,2.42,14.0,874.0
22044,Bailo,2008,96.0,2.28,102.0,992.0
50042,Balconchán,2008,5.0,2.86,5.0,976.0
22045,Baldellou,2008,42.0,2.78,45.0,890.0
22046,Ballobar,2008,325.0,3.05,345.0,595.0
22047,Banastás,2008,96.0,2.75,102.0,660.0
44034,Bañón,2008,52.0,3.15,55.0,641.0
22048,Barbastro,2008,7295.0,2.26,7736.0,663.0
50043,Bárboles,2008,150.0,2.3,159.0,272.0
22049,Barbués,2008,47.0,2.24,50.0,441.0
22050,Barbuñales,2008,46.0,2.4,49.0,940.0
22051,Bárcabo,2008,45.0,2.74,48.0,828.0
50044,Bardallur,2008,111.0,2.82,118.0,786.0
44035,Barrachina,2008,71.0,2.25,75.0,346.0
44036,Bea,2008,13.0,2.98,14.0,556.0
44037,Beceite,2008,209.0,3.02,222.0,554.0
50045,Belchite,2008,677.0,2.5,718.0,989.0
44039,Bello,2008,130.0,2.29,138.0,482.0
50046,Belmonte de Gracián,2008,90.0,2.39,95.0,1007.0
44038,Belmonte de San José,2008,60.0,2.32,64.0,393.0
22052,Belver de Cinca,2008,592.0,2.33,628.0,981.0
22053,Benabarre,2008,440.0,2.72,467.0,495.0
22054,Benasque,2008,884.0,2.45,937.0,453.0
22246,Beranuy,2008,43.0,2.53,46.0,265.0
22055,Berbegal,2008,148.0,3.16,157.0,297.0
50047,Berdejo,2008,22.0,2.82,23.0,380.0
44040,Berge,2008,84.0,3.13,89.0,391.0
50048,Berrueco,2008,19.0,2.31,20.0,1025.0
44041,Bezas,2008,28.0,2.56,30.0,1007.0
50901,Biel,2008,79.0,2.74,84.0,600.0
22057,Bielsa,2008,231.0,2.29,245.0,466.0
22058,Bierge,2008,114.0,2.22,121.0,632.0
22059,Biescas,2008,601.0,2.85,637.0,764.0
50050,Bijuesca,2008,44.0,2.8,47.0,1025.0
22060,Binaced,2008,588.0,2.61,624.0,302.0
22061,Binéfar,2008,3466.0,2.68,3675.0,668.0
50051,Biota,2008,436.0,2.61,462.0,287.0
22062,Bisaurri,2008,104.0,2.24,110.0,588.0
22063,Biscarrués,2008,91.0,2.53,96.0,704.0
50052,Bisimbre,2008,45.0,2.42,48.0,489.0
44042,Blancas,2008,70.0,2.32,74.0,722.0
22064,Blecua y Torres,2008,59.0,3.15,63.0,526.0
44043,Blesa,2008,44.0,2.81,47.0,395.0
22066,Boltaña,2008,350.0,2.92,371.0,311.0
22067,Bonansa,2008,37.0,2.5,39.0,478.0
50053,Boquiñeni,2008,391.0,2.59,415.0,776.0
22068,Borau,2008,30.0,2.44,32.0,395.0
50054,Bordalba,2008,35.0,2.35,37.0,584.0
44044,Bordón,2008,55.0,2.4,58.0,942.0
50055,Borja,2008,1623.0,2.98,1721.0,309.0
50056,Botorrita,2008,187.0,2.87,198.0,1039.0
50057,Brea de Aragón,2008,701.0,2.74,743.0,547.0
44045,Bronchales,2008,183.0,2.66,194.0,289.0
22069,Broto,2008,177.0,3.11,188.0,873.0
50058,Bubierca,2008,37.0,2.33,39.0,709.0
44046,Bueña,2008,29.0,2.49,31.0,846.0
50059,Bujaraloz,2008,411.0,2.55,436.0,761.0
50060,Bulbuente,2008,91.0,2.97,96.0,617.0
44047,Burbáguena,2008,96.0,3.17,102.0,679.0
50061,Bureta,2008,111.0,2.44,118.0,336.0
50062,Burgo de Ebro (El),2008,717.0,3.05,760.0,643.0
50063,Buste (El),2008,30.0,3.04,32.0,391.0
50064,Cabañas de Ebro,2008,223.0,2.43,236.0,438.0
50065,Cabolafuente,2008,19.0,2.59,20.0,939.0
44048,Cabra de Mora,2008,41.0,2.57,43.0,910.0
50066,Cadrete,2008,803.0,3.15,852.0,629.0
44049,Calaceite,2008,474.0,2.39,503.0,966.0
44050,Calamocha,2008,1595.0,2.98,1691.0,823.0
44051,Calanda,2008,1506.0,2.54,1597.0,418.0
50067,Calatayud,2008,7502.0,2.92,7955.0,365.0
50068,Calatorao,2008,1154.0,2.62,1224.0,664.0
50069,Calcena,2008,19.0,2.75,20.0,462.0
22072,Caldearenas,2008,76.0,3.01,81.0,1033.0
50070,Calmarza,2008,26.0,2.94,28.0,638.0
44052,Calomarde,2008,31.0,3.05,33.0,284.0
44053,Camañas,2008,51.0,2.27,54.0,866.0
44054,Camarena de la Sierra,2008,57.0,2.85,60.0,530.0
44055,Camarillas,2008,51.0,2.35,54.0,953.0
44056,Caminreal,2008,302.0,2.61,320.0,335.0
50071,Campillo de Aragón,2008,59.0,2.74,63.0,267.0
22074,Campo,2008,97.0,2.59,103.0,780.0
22075,Camporrélls,2008,76.0,2.7,81.0,605.0
22076,Canal de Berdún,2008,130.0,3.17,138.0,947.0
22077,Candasnos,2008,182.0,2.35,193.0,551.0
22078,Canfranc,2008,227.0,2.86,241.0,731.0
44059,Cantavieja,2008,283.0,2.6,300.0,769.0
44060,Cañada de Benatanduz,2008,21.0,2.4,22.0,377.0
44061,Cañada de Verich (La),2008,46.0,2.37,49.0,510.0
44062,Cañada Vellida,2008,15.0,3.01,16.0,454.0
44063,Cañizar del Olivar,2008,34.0,3.09,36.0,321.0
22079,Capdesaso,2008,51.0,3.1,54.0,822.0
22080,Capella,2008,123.0,3.16,130.0,797.0
50072,Carenas,2008,88.0,2.43,93.0,316.0
50073,Cariñena,2008,1371.0,2.56,1454.0,727.0
22081,Casbas de Huesca,2008,107.0,2.86,113.0,306.0
44064,Cascante del Río,2008,34.0,2.7,36.0,912.0
50074,Caspe,2008,3377.0,2.62,3581.0,499.0
50075,Castejón de Alarba,2008,40.0,2.58,42.0,336.0
50076,Castejón de las Armas,2008,45.0,2.8,48.0,912.0
22083,Castejón de Monegros,2008,241.0,2.77,256.0,972.0
22084,Castejón de Sos,2008,324.0,2.38,344.0,450.0
44065,Castejón de Tornos,2008,26.0,2.62,28.0,685.0
50077,Castejón de Valdejasa,2008,103.0,2.75,109.0,344.0
22082,Castejón del Puente,2008,164.0,2.76,174.0,995.0
44066,Castel de Cabra,2008,60.0,2.45,64.0,1004.0
22085,Castelflorite,2008,44.0,2.94,47.0,604.0
44070,Castellar (El),2008,33.0,2.27,35.0,788.0
44071,Castellote,2008,325.0,2.56,345.0,922.0
44067,Castelnou,2008,38.0,2.95,40.0,648.0
44068,Castelserás,2008,304.0,2.76,322.0,866.0
22086,Castiello de Jaca,2008,104.0,2.46,110.0,436.0
22087,Castigaleu,2008,42.0,2.92,45.0,951.0
50078,Castiliscar,2008,126.0,2.76,134.0,676.0
22088,Castillazuelo,2008,74.0,2.99,78.0,744.0
22089,Castillonroy,2008,134.0,2.91,142.0,435.0
44074,Cedrillas,2008,215.0,2.8,228.0,692.0
44075,Celadas,2008,164.0,2.68,174.0,664.0
44076,Cella,2008,1329.0,2.35,1409.0,345.0
44077,Cerollera (La),2008,51.0,2.46,54.0,412.0
50079,Cervera de la Cañada,2008,126.0,2.63,134.0,740.0
50080,Cerveruela,2008,15.0,2.79,16.0,614.0
50081,Cetina,2008,260.0,2.7,276.0,780.0
22094,Chalamera,2008,55.0,2.51,58.0,449.0
22095,Chía,2008,50.0,2.25,53.0,935.0
22096,Chimillas,2008,132.0,2.69,140.0,548.0
50092,Chiprana,2008,120.0,2.49,127.0,306.0
50093,Chodes,2008,50.0,2.94,53.0,644.0
50082,Cimballa,2008,55.0,2.23,58.0,581.0
50083,Cinco Olivas,2008,43.0,2.77,46.0,693.0
50084,Clarés de Ribota,2008,29.0,3.13,31.0,814.0
50085,Codo,2008,95.0,2.39,101.0,764.0
44080,Codoñera (La),2008,141.0,2.66,150.0,492.0
50086,Codos,2008,107.0,2.29,113.0,611.0
22090,Colungo,2008,55.0,2.83,58.0,863.0
50087,Contamina,2008,16.0,2.68,17.0,388.0
44082,Corbalán,2008,36.0,2.59,38.0,690.0
44084,Cortes de Aragón,2008,32.0,2.66,34.0,283.0
44085,Cosa,2008,25.0,3.05,27.0,295.0
50088,Cosuenda,2008,162.0,2.41,172.0,357.0
44086,Cretas,2008,282.0,2.24,299.0,523.0
44087,Crivillén,2008,31.0,3.06,33.0,989.0
50089,Cuarte de Huerva,2008,2312.0,2.77,2452.0,303.0
44088,Cuba (La),2008,21.0,3.17,22.0,866.0
50090,Cubel,2008,75.0,2.8,80.0,833.0
44089,Cubla,2008,19.0,3.05,20.0,770.0
44090,Cucalón,2008,40.0,2.62,42.0,1004.0
50091,Cuerlas (Las),2008,23.0,2.96,24.0,473.0
44092,Cuervo (El),2008,36.0,3.13,38.0,921.0
44093,Cuevas de Almudén,2008,44.0,2.77,47.0,556.0
44094,Cuevas Labradas,2008,61.0,2.38,65.0,280.0
50094,Daroca,2008,949.0,2.47,1006.0,494.0
50095,Ejea de los Caballeros,2008,7128.0,2.41,7559.0,354.0
44096,Ejulve,2008,90.0,2.44,95.0,865.0
50096,Embid de Ariza,2008,23.0,2.6,24.0,400.0
50098,Encinacorba,2008,99.0,2.73,105.0,781.0
50099,Épila,2008,1684.0,2.78,1786.0,864.0
50100,Erla,2008,163.0,2.61,173.0,794.0
50101,Escatrón,2008,412.0,2.8,437.0,596.0
44097,Escorihuela,2008,86.0,2.29,91.0,650.0
44099,Escucha,2008,450.0,2.3,477.0,995.0
22099,Esplús,2008,302.0,2.38,320.0,751.0
22102,Estada,2008,85.0,2.73,90.0,705.0
22103,Estadilla,2008,362.0,2.42,384.0,335.0
44100,Estercuel,2008,103.0,2.48,109.0,720.0
22105,Estopiñán del Castillo,2008,76.0,2.59,81.0,967.0
50102,Fabara,2008,411.0,2.99,436.0,675.0
22106,Fago,2008,14.0,2.22,15.0,468.0
22107,Fanlo,2008,56.0,2.86,59.0,626.0
50104,Farlete,2008,156.0,2.85,165.0,450.0
50105,Fayón,2008,146.0,2.99,155.0,544.0
50106,Fayos (Los),2008,55.0,3.07,58.0,925.0
44101,Ferreruela de Huerva,2008,33.0,2.23,35.0,664.0
50107,Figueruelas,2008,535.0,2.37,567.0,875.0
22109,Fiscal,2008,99.0,3.05,105.0,916.0
50108,Fombuena,2008,21.0,2.6,22.0,470.0
44102,Fonfría,2008,11.0,2.79,12.0,837.0
22110,Fonz,2008,362.0,2.85,384.0,889.0
22111,Foradada del Toscar,2008,83.0,2.87,88.0,796.0
44103,Formiche Alto,2008,63.0,3.09,67.0,505.0
44105,Fórnoles,2008,32.0,3.17,34.0,418.0
44106,Fortanete,2008,83.0,2.89,88.0,802.0
44107,Foz-Calanda,2008,120.0,2.49,127.0,948.0
22112,Fraga,2008,4601.0,3.05,4879.0,672.0
50109,Frago (El),2008,52.0,2.25,55.0,280.0
50110,Frasno (El),2008,198.0,2.43,210.0,280.0
50111,Fréscano,2008,76.0,3.06,81.0,784.0
44108,Fresneda (La),2008,199.0,2.46,211.0,769.0
44109,Frías de Albarracín,2008,71.0,2.41,75.0,568.0
50113,Fuendejalón,2008,440.0,2.35,467.0,385.0
50114,Fuendetodos,2008,57.0,3.06,60.0,386.0
44110,Fuenferrada,2008,16.0,2.64,17.0,431.0
44111,Fuentes Calientes,2008,41.0,2.86,43.0,534.0
44112,Fuentes Claras,2008,275.0,2.45,292.0,654.0
50115,Fuentes de Ebro,2008,1502.0,2.94,1593.0,850.0
50116,Fuentes de Jiloca,2008,100.0,2.94,106.0,651.0
44113,Fuentes de Rubielos,2008,51.0,2.5,54.0,339.0
44114,Fuentespalda,2008,133.0,2.6,141.0,806.0
22113,Fueva (La),2008,262.0,2.42,278.0,980.0
50117,Gallocanta,2008,50.0,3.15,53.0,359.0
50118,Gallur,2008,1061.0,2.83,1125.0,658.0
44115,Galve,2008,43.0,3.13,46.0,987.0
44116,Gargallo,2008,42.0,2.53,45.0,461.0
44117,Gea de Albarracín,2008,151.0,2.96,160.0,762.0
50119,Gelsa,2008,409.0,2.95,434.0,850.0
44118,Ginebrosa (La),2008,86.0,2.87,91.0,274.0
22114,Gistaín,2008,50.0,3.13,53.0,347.0
50120,Godojos,2008,21.0,2.59,22.0,855.0
50121,Gotor,2008,164.0,2.35,174.0,671.0
22115,Grado (El),2008,179.0,2.84,190.0,953.0
22116,Grañén,2008,699.0,2.92,741.0,822.0
22117,Graus,2008,1301.0,2.77,1380.0,575.0
44119,Griegos,2008,59.0,2.43,63.0,742.0
50122,Grisel,2008,36.0,2.66,38.0,676.0
50123,Grisén,2008,207.0,2.51,220.0,298.0
44120,Guadalaviar,2008,100.0,2.62,106.0,766.0
44121,Gúdar,2008,37.0,2.87,39.0,339.0
22119,Gurrea de Gállego,2008,584.0,2.93,619.0,751.0
50124,Herrera de los Navarros,2008,257.0,2.44,273.0,997.0
44122,Híjar,2008,742.0,2.6,787.0,888.0
44123,Hinojosa de Jarque,2008,61.0,2.47,65.0,593.0
22122,Hoz de Jaca,2008,30.0,2.4,32.0,312.0
44124,Hoz de la Vieja (La),2008,32.0,3.0,34.0,372.0
22908,Hoz y Costean,2008,72.0,3.1,76.0,837.0
22124,Huerto,2008,106.0,2.58,112.0,964.0
44125,Huesa del Común,2008,34.0,2.97,36.0,600.0
22125,Huesca,2008,16650.0,3.07,17656.0,966.0
50125,Ibdes,2008,170.0,3.01,180.0,708.0
